county,water_name,access_point_name,official_source_url,verification_evidence
Sacramento,Hagan Community Park Pond,Hagan Community Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW lists Hagan Community Park as a Fishing in the City location.
Sacramento,Howe Park Pond,Howe Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW lists Howe Park as a Fishing in the City location.
Sacramento,Mather Lake,Mather Regional Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW states it regularly stocks and provides fishing events at Mather Lake.
Sacramento,Elk Grove Regional Park Pond,Elk Grove Regional Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW states Elk Grove Regional Park is open for fishing during its posted season.
Sacramento,Florin Creek Park Pond,Florin Creek Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW identifies Florin Creek Park pond as a stocked community fishing location.
Sacramento,Gibson Ranch Regional Park Pond,Gibson Ranch Regional Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW lists Gibson Ranch Regional Park as a stocked Fishing in the City pond.
Sacramento,Southside Park Pond,Southside Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW lists Southside Park Pond in its Sacramento stocking and clinic information.
El Dorado,Folsom Lake,Brown's Ravine public ramps,https://dbw.parks.ca.gov/BoatingFacilities/f/739,California DBW lists Brown's Ravine ramps on Folsom Lake as open to the public.
El Dorado,Folsom Lake,Peninsula public ramp,https://dbw.parks.ca.gov/BoatingFacilities/f/736,California DBW lists the Peninsula ramp on Folsom Lake as open to the public.
El Dorado,Lake Tahoe,El Dorado Beach Boat Ramp,https://www.parks.ca.gov/BoatingFacilities/f/709,California DBW lists El Dorado Beach Boat Ramp on Lake Tahoe as open to the public.
El Dorado,Sly Park Reservoir,Sly Park public recreation and launch access,https://www.recreation.gov/gateways/2279,"The official Recreation.gov page identifies public-use facilities, two launch ramps and fishing at Sly Park Reservoir."
El Dorado,Wrights Lake,Wrights Lake public launch,https://www.parks.ca.gov/BoatingFacilities/f/1364,California DBW lists Wrights Lake Access as a public US Forest Service launch.
El Dorado,Echo Lake,Echo Chalet public marina/launch,https://www.parks.ca.gov/BoatingFacilities/f/726,California DBW lists Echo Chalet as a public marina and launch on Echo Lake.
El Dorado,American River — South Fork,Henningsen-Lotus public boating access,https://dbw.parks.ca.gov/BoatingFacilities/f/1204,California DBW lists Henningsen-Lotus as public boating access on the South Fork American River.
Butte,Lake Oroville,Lake Oroville SRA — Bidwell Canyon public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Butte,California DBW's Butte County directory lists Lake Oroville SRA at Bidwell Canyon as a public launch.
Colusa,East Park Reservoir,East Park Reservoir public ramp,https://dbw.parks.ca.gov/BoatingFacilities/County/Colusa,California DBW's Colusa County directory lists East Park Reservoir Ramp as public.
Del Norte,Lake Earl,Lake Earl public boat launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Del%20Norte,California DBW's Del Norte County directory lists the Lake Earl Boat Launch Facility as public.
Glenn,Stony Gorge Reservoir,Stony Gorge Reservoir public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Glenn,California DBW's Glenn County directory lists Stony Gorge Reservoir as a public launch.
Humboldt,Big Lagoon,Big Lagoon County Park public boat ramp,https://dbw.parks.ca.gov/BoatingFacilities/County/Humboldt,California DBW's Humboldt County directory lists Big Lagoon County Park Boat Ramp as public.
Lake,Clear Lake,Clear Lake State Park public boat ramp,https://dbw.parks.ca.gov/BoatingFacilities/County/Lake,California DBW's Lake County directory lists Clear Lake State Park Boat Ramp as public.
Lassen,Eagle Lake,Eagle Lake Marina public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Lassen,California DBW's Lassen County directory lists Eagle Lake Marina as a public marina and launch.
Mendocino,Lake Mendocino,Lake Mendocino public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Mendocino,California DBW's Mendocino County directory lists Lake Mendocino as a public launch.
Modoc,Big Sage Reservoir,Big Sage Reservoir public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Modoc,California DBW's Modoc County directory lists Big Sage Reservoir as a public launch.
Nevada,Boca Reservoir,Boca Reservoir public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Nevada,California DBW's Nevada County directory lists Boca Reservoir as a public launch.
Placer,Lake Clementine,Lake Clementine public boat launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Placer,California DBW's Placer County directory lists the Lake Clementine Boat Launch Facility as public.
Plumas,Lake Almanor,Lake Almanor public boat launching facility,https://dbw.parks.ca.gov/BoatingFacilities/County/Plumas,California DBW's Plumas County directory lists the Lake Almanor Boat Launching Facility as public.
Shasta,Shasta Lake,Shasta Lake Antlers public ramp,https://dbw.parks.ca.gov/BoatingFacilities/County/Shasta,California DBW's Shasta County directory lists Shasta Lake's Antlers Ramp as public.
Sierra,Sardine Lake,Sardine Lake public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Sierra,California DBW's Sierra County directory lists Sardine Lake as a public launch.
Siskiyou,Lake Shastina,Lake Shastina public fishing access and boat ramp,https://dbw.parks.ca.gov/BoatingFacilities/County/Siskiyou,California DBW's Siskiyou County directory lists Lake Shastina Fishing Access/Boat Ramp as public.
Sutter,Live Oak Riverfront Park,Live Oak Riverfront Park public launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Sutter,California DBW's Sutter County directory lists Live Oak Riverfront Park as a public launch.
Tehama,Black Butte Lake,Black Butte Lake Buckhorn public ramp and marina,https://dbw.parks.ca.gov/BoatingFacilities/County/Tehama,California DBW's Tehama County directory lists Black Butte Lake's Buckhorn ramp and marina as public.
Trinity,Trinity Lake,Trinity Lake public recreation access,https://dbw.parks.ca.gov/BoatingFacilities/County/Trinity,California DBW's Trinity County directory lists Trinity Lake National Recreation Area as public.
Yolo,Knights Landing Fishing Access,Knights Landing public fishing access,https://dbw.parks.ca.gov/BoatingFacilities/County/Yolo,California DBW's Yolo County directory lists Knights Landing Fishing Access as public.
Yuba,Bullards Bar Reservoir,Bullards Bar Cottage Creek public boat launch,https://dbw.parks.ca.gov/BoatingFacilities/County/Yuba,California DBW's Yuba County directory lists Bullards Bar Reservoir's Cottage Creek Boat Launch Facility as public.
