county,water_name,access_point_name,official_source_url,verification_evidence
Malheur,Lake Owyhee Reservoir,Indian Creek and Gordon Gulch boat ramps,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported multiple public ramps open, with some launches reduced to hand carry by low water."
Marion,Turner Lake,North Turner Lake boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the ramp open daily from dawn to dusk unless the gate is closed.
Marion,Walter Wirth Lake,Cascades Gateway Park shoreline access,https://myodfw.com/recreation-report/fishing-report/willamette-zone,ODFW describes good public access around this Salem urban lake.
Morrow,Willow Creek Reservoir,Turner Day Park,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Turner Day Park open and published the current reservoir level.
Multnomah,Benson Lake,Benson State Recreation Area,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the state recreation area open and identifies the lake as stocked during the season.
Polk,Willamette River,Independence Riverview Park nonmotorized launch,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the Independence Riverview Park nonmotorized launch open.
Sherman,John Day River,Cottonwood / J.S. Burres access,https://www.blm.gov/sites/default/files/JDR_Seg_Camp%20info.pdf,"BLM's official John Day River launch guide identifies Cottonwood/J.S. Burres as a public launch/take-out, with state-park camping across the river."
Tillamook,Cape Meares Lake,Cape Meares Lake boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the ramp open with limited parking and a road-edge launching caution.
Tillamook,Wilson River,Sollie Smith and named river accesses,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported several named public accesses open, while low water can limit drift boats upstream."
Umatilla,McKay Reservoir,McKay Reservoir north and south boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported both public access sites open and fishing season dates of March 1 through September 30.
Union,Jubilee Lake,Jubilee Lake Campground boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported campground and boating access open.
Wallowa,Wallowa Lake,Wallowa Lake State Park public access,https://myodfw.com/recreation-report/fishing-report/northeast-zone,ODFW's current Northeast Zone report and stocking schedule identify Wallowa Lake as an active public fishery.
Wasco,Rock Creek Reservoir,Rock Creek Reservoir Campground and day use,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported the campground and day-use boating access open, with seasonal parking restrictions possible."
Washington,Henry Hagg Lake,Eagle Landing A and C ramps,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the named ramps open and highlighted lake-specific boating-operation rules.
Wheeler,John Day River,Service Creek River Access Park,https://www.blm.gov/sites/default/files/JDR_Seg_Camp%20info.pdf,BLM's official launch guide identifies Service Creek as a public boat launch and walk-in campground on the John Day River.
Yamhill,Yamhill River,Dayton Landing boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the ramp open but advised against trailered launching because of underwater ramp condition.
